origin_destination_airport,ratio_distance_inefficiency,ratio_ccd_fuel_inefficiency
AGGH-YBBN,1.0451,1.111
ANYN-YBBN,1.0266,1.0275
AYPY-RPLL,1.0185,1.0158
AYPY-VHHH,1.0139,0.9997
AYPY-WSSS,1.0187,0.98
AYPY-YBBN,1.0276,0.9706
AYPY-YBCS,1.0171,0.9859
AYPY-YSSY,1.0146,0.9814
BGSF-EKCH,1.0094,0.9984
BIKF-CYUL,1.0237,1.1164
BIKF-CYVR,1.0092,1.0211
BIKF-CYYZ,1.0109,1.0916
BIKF-EBBR,1.0409,1.0025
BIKF-EBLG,1.0345,1.0031
BIKF-EDDF,1.0469,1.0193
BIKF-EDDH,1.0329,1.0102
BIKF-EDDL,1.0435,1.0085
BIKF-EDDM,1.0418,1.0091
BIKF-EFHK,1.0182,0.9803
BIKF-EGCC,1.0319,1.0565
BIKF-EGGW,1.04,1.104
BIKF-EGKK,1.0554,1.0791
BIKF-EGLL,1.0385,1.0622
BIKF-EGNX,1.0282,1.0143
BIKF-EGPF,1.041,1.0358
BIKF-EGPH,1.0387,1.0938
BIKF-EHAM,1.0439,1.0471
BIKF-EIDW,1.0595,1.091
BIKF-EKBI,1.0221,1.0015
BIKF-EKCH,1.0162,0.9899
BIKF-EKVG,1.0204,1.072
BIKF-ENBR,1.0179,1.0138
BIKF-ENGM,1.0213,1.0043
BIKF-EPGD,1.01,1.0142
BIKF-EPKT,1.017,1.0209
BIKF-EPWA,1.0206,1.0129
BIKF-EPWR,1.0253,1.0728
BIKF-ESSA,1.0218,0.9851
BIKF-EVRA,1.0102,1.0646
BIKF-EYVI,1.0086,1.0125
BIKF-GCLP,1.0302,1.049
BIKF-GCTS,1.026,1.0556
BIKF-KBOS,1.0232,1.1053
BIKF-KBWI,1.0237,1.1287
BIKF-KDEN,1.0184,1.0365
BIKF-KDFW,1.0176,1.0414
BIKF-KEWR,1.026,1.0835
BIKF-KIAD,1.0246,1.0766
BIKF-KJFK,1.026,1.0988
BIKF-KMCI,1.0152,1.043
BIKF-KMCO,1.0266,1.048
BIKF-KMSP,1.0166,1.0679
BIKF-KORD,1.019,1.0575
BIKF-KPDX,1.0103,1.0426
BIKF-KPHL,1.0342,1.049
BIKF-KSEA,1.0083,1.0252
BIKF-KSFO,1.0183,1.0649
BIKF-LEAL,1.0504,1.0481
BIKF-LEBL,1.039,1.1092
BIKF-LEMD,1.0829,1.0721
BIKF-LFPG,1.0385,1.018
BIKF-LFPO,1.0695,1.0983
BIKF-LFSB,1.0529,1.1454
BIKF-LHBP,1.0314,0.991
BIKF-LIMC,1.0612,1.0224
BIKF-LOWW,1.037,1.0354
BIKF-LSGG,1.0362,1.0341
BIKF-LSZH,1.0595,1.0066
BKPR-EBBR,1.0688,1.1003
BKPR-EDDB,1.1071,1.1392
BKPR-EDDF,1.0973,1.1497
BKPR-EDDL,1.0759,1.1397
BKPR-EDDM,1.0915,1.1166
BKPR-EDDS,1.0747,1.1004
BKPR-EDDV,1.071,1.1158
BKPR-EDJA,1.0758,1.0712
BKPR-EDLW,1.0675,1.1156
